specObjID,bestObjID,plate,mjd,fiberID,survey,class,subClass,ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z
8.525477E+18,1237680298879287790,7572,56944,594,eboss,GALAXY,STARBURST,329.6572,19.16639,22.22835,21.75029,21.871,21.85889,22.29877
8.526465E+18,1237680273108435061,7573,56946,92,eboss,GALAXY,STARFORMING,329.1456,19.26235,24.02447,22.32902,21.19075,22.1112,21.90886
8.530008E+18,1237680306394563168,7576,56948,692,eboss,GALAXY,STARBURST,328.5282,22.59053,21.64913,21.49461,21.37126,21.53789,21.24567
8.531182E+18,1237680296734753817,7577,56944,867,eboss,GALAXY,STARBURST,337.0505,18.92008,22.31789,21.75602,21.45978,21.63122,21.3327
8.533388E+18,1237680301564363773,7579,56954,702,eboss,GALAXY,STARBURST,332.6549,22.95732,22.18928,22.4736,21.89049,21.85572,21.68615
8.534328E+18,1237680305859068079,7580,56955,23,eboss,GALAXY,STARBURST,331.9938,22.98575,21.96476,21.69244,21.51474,21.13732,21.29491
8.534534E+18,1237680302637449704,7580,56955,773,eboss,GALAXY,STARFORMING,330.8062,23.4626,22.94839,21.63747,20.50342,19.91788,19.5038
8.536617E+18,1237680273111909320,7582,56960,160,eboss,GALAXY,STARBURST,337.4553,20.95891,21.84027,21.95089,21.2596,20.79931,20.86459
8.536791E+18,1237666433115095547,7582,56960,794,eboss,GALAXY,STARBURST,337.1475,21.87286,21.59974,21.12855,20.7104,20.67783,20.41545
8.536806E+18,1237678578745802784,7582,56960,847,eboss,GALAXY,STARFORMING,337.377,21.37452,21.67645,21.57755,21.39052,21.16327,20.60589
8.542455E+18,1237666433654063322,7587,57297,920,eboss,GALAXY,STARBURST,342.0619,23.13562,22.80243,21.9462,22.13939,21.9444,21.68441
8.544513E+18,1237679503248392435,7589,56946,212,eboss,GALAXY,STARBURST,7.914382,19.6293,22.22635,21.89881,21.53456,21.57315,21.25911
8.544698E+18,1237679504859136435,7589,56946,886,eboss,GALAXY,STARBURST,8.228999,20.89883,21.86812,21.72339,20.96923,20.79782,20.79896
8.551233E+18,1237680246814736852,7595,56957,84,eboss,GALAXY,STARBURST,0.78995,20.3591,22.72234,22.12323,22.01457,21.89439,21.64793
8.552479E+18,1237679503244591273,7596,56945,522,eboss,GALAXY,STARBURST,358.6469,19.63625,23.11922,22.22128,22.15771,22.35107,22.71082
8.552596E+18,1237680246814605383,7596,56945,948,eboss,GALAXY,STARFORMING,0.5278513,20.1673,23.2149,22.02007,21.70086,21.47505,22.44714
8.554784E+18,1237680297816883381,7598,56956,714,eboss,GALAXY,STARBURST,357.2076,21.9766,21.40177,20.97637,21.02997,21.39736,20.81751
8.558006E+18,1237680247349313585,7601,56959,148,eboss,GALAXY,STARFORMING,355.1553,20.44293,22.17203,22.29982,22.01153,21.71512,21.423
8.559203E+18,1237679457606893681,7602,56954,406,eboss,GALAXY,STARBURST,353.7196,18.23202,21.77334,22.28122,22.10635,22.42582,22.48032
8.560482E+18,1237680299426250819,7603,56960,963,eboss,GALAXY,STARBURST,354.0109,23.03944,22.13564,22.06544,22.02168,22.24295,21.93843
8.562635E+18,1237679504311517642,7605,56949,603,eboss,GALAXY,STARBURST,342.0547,19.08174,22.00283,22.04798,21.79522,21.50053,21.24886
8.570385E+18,1237679504850092160,7612,56972,127,eboss,GALAXY,STARFORMING,346.1274,19.98961,20.28971,18.48515,17.53475,17.02917,16.66112
8.570491E+18,1237666184028815775,7612,56972,514,eboss,GALAXY,STARBURST,344.208,21.08808,20.97121,20.89401,21.20773,20.74964,21.37994
8.570578E+18,1237666183492665660,7612,56972,828,eboss,GALAXY,STARBURST,345.804,22.03355,21.91588,21.54079,21.15003,21.25586,21.21308
8.571641E+18,1237678580358840376,7613,56988,600,eboss,GALAXY,STARBURST,343.1045,23.56458,21.45187,21.32673,22.5624,21.52543,22.70553
8.572852E+18,1237666185104392975,7614,57307,910,eboss,GALAXY,STARFORMING,346.7388,24.64857,24.63902,22.21569,20.38178,19.8043,19.20781
8.573946E+18,1237679543502766559,7615,56977,794,eboss,GALAXY,STARBURST,8.658562,23.40877,22.65008,21.2959,20.76873,20.44475,20.14672
8.574908E+18,1237679460822024452,7616,56902,198,eboss,GALAXY,STARFORMING,10.51584,20.32506,21.28601,19.87136,19.02599,18.59536,18.24302
8.579605E+18,1237679477476294853,7620,56904,900,eboss,GALAXY,STARBURST,14.77048,22.0881,22.30876,21.70318,21.89435,21.58525,22.05075
8.580514E+18,1237679502179959041,7621,56985,112,eboss,GALAXY,STARBURST,20.57842,18.18185,21.91264,21.04777,20.61972,20.49914,20.26931
8.580696E+18,1237679459215278273,7621,56985,773,eboss,GALAXY,STARFORMING,19.90264,18.44555,21.39148,21.14548,21.64383,22.17493,22.35958
8.58165E+18,1237666090589946030,7622,56987,150,eboss,GALAXY,STARBURST,17.73597,17.99615,22.89591,22.1571,22.25767,22.17236,22.82702
8.58179E+18,1237679459213967765,7622,56987,657,eboss,GALAXY,STARFORMING,16.65089,18.56994,22.41348,22.34684,20.86558,20.25995,19.75286
8.588372E+18,1237679503255404969,7628,56978,25,eboss,GALAXY,STARBURST,24.83993,18.59852,22.25793,22.37664,22.13188,21.96738,21.14165
8.588372E+18,1237679460827857112,7628,56978,26,eboss,GALAXY,STARBURST,24.71666,19.14375,21.75795,21.48584,21.47484,20.87786,21.03587
8.5896E+18,1237679460289347743,7629,56988,400,eboss,GALAXY,STARFORMING,20.69479,19.30818,21.83519,21.36857,21.48555,21.62499,21.47602
8.592995E+18,1237679541363802153,7632,56987,460,eboss,GALAXY,STARFORMING,29.37091,19.91814,21.42308,20.65619,20.84901,20.85675,21.2371
8.59425E+18,1237679478018801910,7633,56931,930,eboss,GALAXY,STARFORMING,28.64899,21.17989,22.38155,21.3097,20.53674,20.28449,19.9656
8.594258E+18,1237679542974153103,7633,56931,962,eboss,GALAXY,STARBURST,29.00149,21.33188,21.91391,21.66833,21.28843,21.88315,21.37682
8.603187E+18,1237680328407253633,7641,57307,675,eboss,GALAXY,STARBURST,326.5313,26.66218,21.92822,21.91077,21.66539,21.63371,22.82675
8.611156E+18,1237680307472040042,7648,57329,996,eboss,GALAXY,STARFORMING,337.3382,25.51825,25.15312,21.75408,21.6562,20.85095,20.43727
8.616697E+18,1237680302640857744,7653,57306,672,eboss,GALAXY,STARBURST,339.0715,25.29769,22.61804,21.28386,20.54238,20.71366,20.14762
8.61885E+18,1237680331095474989,7655,57336,314,eboss,GALAXY,STARBURST,340.0049,26.45608,22.00318,21.94586,21.52155,21.37538,21.1706
8.624426E+18,1237678581442936912,7660,57357,117,eboss,GALAXY,STARBURST,9.063545,25.91209,22.4823,21.86928,21.4277,21.47327,21.96002
8.624519E+18,1237666245232755113,7660,57357,458,eboss,GALAXY,STARBURST,6.814254,25.16228,22.24842,22.005,21.5913,21.77808,21.67163
8.62554E+18,1237666308025090405,7661,57286,74,eboss,GALAXY,STARBURST,7.690942,23.96633,22.06161,21.46688,21.47303,21.25418,21.54205
8.626658E+18,1237666309098307829,7662,57358,45,eboss,GALAXY,STARBURST,6.373527,24.81572,21.92065,21.52326,21.54029,21.71255,21.23323
8.62793E+18,1237678578756158063,7663,57328,578,eboss,GALAXY,STARBURST,2.978008,23.8478,22.05709,21.39325,21.08179,20.67478,20.37161
8.629038E+18,1237663306919510049,7664,57367,513,eboss,GALAXY,STARBURST,0.9747852,25.94489,23.91658,21.21318,20.77098,20.35968,20.1638
8.630247E+18,1237678578755502219,7665,57328,815,eboss,GALAXY,STARBURST,1.29588,23.81718,19.25594,18.88593,18.45275,18.33749,18.43415
8.632503E+18,1237680275258605951,7667,57580,830,eboss,GALAXY,STARBURST,356.7117,26.15404,21.80705,21.94959,21.52809,21.21016,21.54924
8.525502E+18,1237680298342547541,7572,56944,682,eboss,GALAXY,STARBURST,330.0618,18.89579,23.86799,21.93276,21.21011,20.88128,20.55586
8.528697E+18,1237678579280576653,7575,56947,20,eboss,GALAXY,STARBURST,332.371,20.70516,22.41356,21.13729,20.66401,20.92359,20.33457
8.529927E+18,1237680306394366060,7576,56948,396,eboss,GALAXY,STARBURST,328.0062,22.52488,21.87225,21.5517,22.05171,22.39652,22.47524
8.531027E+18,1237680246804578606,7577,56944,304,eboss,GALAXY,STARBURST,336.3156,18.06563,21.69305,21.67382,21.98826,22.27508,21.42291
8.531101E+18,1237680297808102392,7577,56944,571,eboss,GALAXY,STARBURST,335.9627,19.5295,22.40894,21.29927,21.16475,20.78404,21.0977
8.531137E+18,1237680269353091999,7577,56944,703,eboss,GALAXY,STARFORMING,336.2054,18.64123,22.27971,21.17819,20.12344,19.55659,19.1943
8.532245E+18,1237678579281364026,7578,56956,638,eboss,GALAXY,STARFORMING,334.2627,21.03495,22.54377,21.26521,20.09246,19.60758,19.11478
8.535516E+18,1237666186173678222,7581,57195,252,eboss,GALAXY,STARBURST,338.6796,17.69684,21.83977,21.21567,21.08247,20.57366,20.49367
8.535671E+18,1237680247342563519,7581,57195,815,eboss,GALAXY,STARBURST,338.9961,18.75816,22.92222,21.75627,21.04448,21.11096,20.49735
8.542276E+18,1237666244148789856,7587,57297,266,eboss,GALAXY,STARBURST,341.4153,22.35069,21.59677,21.37752,20.94478,20.57518,20.22251
8.545662E+18,1237678601844687403,7590,56944,296,eboss,GALAXY,AGN,6.147752,17.87503,22.27213,21.75551,21.1576,20.50487,19.95617
8.547967E+18,1237680245741977798,7592,56947,490,eboss,GALAXY,STARBURST,3.201041,19.40159,20.91981,19.98081,19.73243,19.37969,19.31922
8.548025E+18,1237679504320561849,7592,56947,700,eboss,GALAXY,STARBURST,4.138595,20.53069,25.83838,22.41134,21.21105,21.1966,21.05631
8.549005E+18,1237679504857039124,7593,56958,172,eboss,GALAXY,STARBURST,3.026868,20.91935,21.95187,21.50725,20.46568,21.37918,20.63468
8.550326E+18,1237680246278652180,7594,56947,881,eboss,GALAXY,STARBURST,2.69668,19.87708,21.62925,21.03185,20.50258,20.78061,20.02811
8.551238E+18,1237680247888478432,7595,56957,103,eboss,GALAXY,STARBURST,0.8352149,21.10221,19.884,19.62211,19.40282,19.27712,18.92082
8.553615E+18,1237678579290669278,7597,56973,558,eboss,GALAXY,STARFORMING,357.0801,24.08496,22.07343,21.98374,22.21853,22.47343,22.07286
8.554737E+18,1237679477468823858,7598,56956,543,eboss,GALAXY,STARBURST,356.3812,22.11226,22.98022,21.82049,22.07594,22.26596,22.33012
8.554833E+18,1237680297280405637,7598,56956,892,eboss,GALAXY,STARFORMING,358.1557,21.51624,21.69543,21.68391,21.87874,21.83925,22.82699
8.558202E+18,1237679477468299644,7601,56959,862,eboss,GALAXY,STARFORMING,355.1227,22.01789,23.36617,20.83079,19.65591,19.16205,18.7326
8.559351E+18,1237680246275702986,7602,56954,944,eboss,GALAXY,STARBURST,355.5952,19.61723,20.73973,20.26729,19.40042,20.37824,19.44129
8.561418E+18,1237679503778775340,7604,56947,274,eboss,GALAXY,STARBURST,352.1733,19.65977,21.69773,21.2833,21.38757,21.70958,22.6512
8.56366E+18,1237679476392722634,7606,56977,236,eboss,GALAXY,AGN,350.601,20.84816,20.15906,18.3602,17.64434,17.26237,16.79323
8.564831E+18,1237672816514498609,7607,56902,400,eboss,GALAXY,STARFORMING,349.4005,19.09195,20.70385,18.79482,17.92633,17.46099,17.01882
8.568232E+18,1237672814902837272,7610,56980,488,eboss,GALAXY,STARFORMING,346.9291,20.58786,21.13904,21.2316,21.00804,20.16557,20.95343
8.571611E+18,1237678579821904531,7613,56988,491,eboss,GALAXY,STARBURST,342.9873,23.0638,22.00261,21.35509,20.88667,20.84916,21.46511
8.572695E+18,1237672763367358725,7614,57307,340,eboss,GALAXY,STARBURST,346.0662,22.53712,23.02382,22.07633,21.9441,21.85964,21.89788
8.575003E+18,1237679476400259267,7616,56902,542,eboss,GALAXY,STARFORMING,9.190925,21.56861,22.6821,20.24519,20.23101,20.28092,22.82658
8.578467E+18,1237679504324362488,7619,56900,856,eboss,GALAXY,STARBURST,13.3343,20.3036,21.69666,21.1281,21.02216,20.53095,20.71927
8.57938E+18,1237679476939555005,7620,56904,84,eboss,GALAXY,STARBURST,15.04078,21.58853,21.90899,21.49999,21.44899,21.21985,21.95536
8.580696E+18,1237679459215212665,7621,56985,774,eboss,GALAXY,STARFORMING,19.60057,18.54844,21.7599,21.5953,21.30029,21.16686,21.06575
8.580702E+18,1237679460288954614,7621,56985,796,eboss,GALAXY,STARBURST,19.80803,19.20045,21.69752,21.81411,22.24788,21.94124,22.85809
8.590835E+18,1237666090054386016,7630,57006,796,eboss,GALAXY,AGN,18.555,20.91815,21.41899,20.76723,19.9275,19.59734,19.16875
8.591905E+18,1237666090054910286,7631,57279,592,eboss,GALAXY,STARBURST,18.77164,22.11208,22.31691,21.86679,21.83013,21.26459,22.10334
8.595203E+18,1237679541898903649,7634,56935,302,eboss,GALAXY,STARFORMING,25.17184,20.83691,21.86489,21.43786,21.2692,21.34429,21.20663
8.597523E+18,1237678585187532863,7636,56989,550,eboss,GALAXY,STARBURST,29.97994,23.63882,22.25684,21.6087,21.35607,21.77613,22.49064
